No,質問候補,話題,棚,言語,法務チェック,要注意,状態,3ソース確認日,担当
1,What should I know about drugstores in Japan?,drugstores,inbound,en,,,未確認,,
2,What should I know about convenience stores in Japan?,convenience stores,inbound,en,,,未確認,,
3,What should I know about supermarkets in Japan?,supermarkets,inbound,en,,,未確認,,
4,What should I know about department stores in Japan?,department stores,inbound,en,,,未確認,,
5,What should I know about 100-yen shops in Japan?,100-yen shops,inbound,en,,,未確認,,
6,What should I know about home centres in Japan?,home centres,inbound,en,,,未確認,,
7,What should I know about tax-free shopping in Japan?,tax-free shopping,inbound,en,,制度・安全,未確認,,
8,What should I know about consumption tax in Japan?,consumption tax,inbound,en,,制度・安全,未確認,,
9,What should I know about cash and cards in Japan?,cash and cards,inbound,en,,,未確認,,
10,What should I know about IC cards in Japan?,IC cards,inbound,en,,,未確認,,
11,What should I know about coin lockers in Japan?,coin lockers,inbound,en,,,未確認,,
12,What should I know about luggage forwarding in Japan?,luggage forwarding,inbound,en,,,未確認,,
13,What should I know about carry-on rules in Japan?,carry-on rules,inbound,en,,,未確認,,
14,What should I know about customs on the way home in Japan?,customs on the way home,inbound,en,,制度・安全,未確認,,
15,What should I know about bringing food home in Japan?,bringing food home,inbound,en,,,未確認,,
16,What should I know about bringing medicine in Japan?,bringing medicine,inbound,en,必須,制度・安全,未確認,,
17,What should I know about packing for summer in Japan?,packing for summer,inbound,en,,,未確認,,
18,What should I know about packing for winter in Japan?,packing for winter,inbound,en,,,未確認,,
19,What should I know about packing for the rainy season in Japan?,packing for the rainy season,inbound,en,,,未確認,,
20,What should I know about humidity in Japan?,humidity,inbound,en,,,未確認,,
21,What should I know about the heat in August in Japan?,the heat in August,inbound,en,,,未確認,,
22,What should I know about pollen season in Japan?,pollen season,inbound,en,,,未確認,,
23,What should I know about UV levels in Japan?,UV levels,inbound,en,,,未確認,,
24,What should I know about sunscreen labels in Japan?,sunscreen labels,inbound,en,必須,,未確認,,
25,What should I know about SPF and PA in Japan?,SPF and PA,inbound,en,必須,,未確認,,
26,What should I know about cosmetics labels in Japan?,cosmetics labels,inbound,en,必須,,未確認,,
27,What should I know about ingredient lists in Japan?,ingredient lists,inbound,en,必須,,未確認,,
28,What should I know about expiry dates on cosmetics in Japan?,expiry dates on cosmetics,inbound,en,必須,,未確認,,
29,What should I know about skincare product names in Japan?,skincare product names,inbound,en,必須,,未確認,,
30,What should I know about face masks in Japan?,face masks,inbound,en,,,未確認,,
31,What should I know about hand soap in Japan?,hand soap,inbound,en,,,未確認,,
32,What should I know about toiletries you can buy locally in Japan?,toiletries you can buy locally,inbound,en,,,未確認,,
33,What should I know about laundry while travelling in Japan?,laundry while travelling,inbound,en,,,未確認,,
34,What should I know about coin laundries in Japan?,coin laundries,inbound,en,,,未確認,,
35,What should I know about hotel amenities in Japan?,hotel amenities,inbound,en,,,未確認,,
36,What should I know about slippers and shoes indoors in Japan?,slippers and shoes indoors,inbound,en,,,未確認,,
37,What should I know about public baths in Japan?,public baths,inbound,en,,,未確認,,
38,What should I know about onsen etiquette in Japan?,onsen etiquette,inbound,en,,,未確認,,
39,What should I know about tattoos and bathing in Japan?,tattoos and bathing,inbound,en,,,未確認,,
40,What should I know about towels in Japan?,towels,inbound,en,,,未確認,,
41,What should I know about tap water in Japan?,tap water,inbound,en,,,未確認,,
42,What should I know about vending machines in Japan?,vending machines,inbound,en,,,未確認,,
43,What should I know about bottle recycling in Japan?,bottle recycling,inbound,en,,,未確認,,
44,What should I know about rubbish bins in Japan?,rubbish bins,inbound,en,,制度・安全,未確認,,
45,What should I know about sorting rubbish in Japan?,sorting rubbish,inbound,en,,制度・安全,未確認,,
46,What should I know about eating while walking in Japan?,eating while walking,inbound,en,,,未確認,,
47,What should I know about convenience-store food in Japan?,convenience-store food,inbound,en,,,未確認,,
48,What should I know about onigiri in Japan?,onigiri,inbound,en,,,未確認,,
49,What should I know about bento in Japan?,bento,inbound,en,,,未確認,,
50,What should I know about instant noodles in Japan?,instant noodles,inbound,en,,,未確認,,
51,What should I know about matcha products in Japan?,matcha products,inbound,en,,,未確認,,
52,What should I know about wagashi in Japan?,wagashi,inbound,en,,,未確認,,
53,What should I know about seasonal sweets in Japan?,seasonal sweets,inbound,en,,,未確認,,
54,What should I know about allergy labelling in Japan?,allergy labelling,inbound,en,必須,制度・安全,未確認,,
55,What should I know about vegetarian options in Japan?,vegetarian options,inbound,en,必須,,未確認,,
56,What should I know about halal options in Japan?,halal options,inbound,en,必須,,未確認,,
57,What should I know about reading a menu in Japan?,reading a menu,inbound,en,,,未確認,,
58,What should I know about restaurant etiquette in Japan?,restaurant etiquette,inbound,en,,,未確認,,
59,What should I know about tipping in Japan?,tipping,inbound,en,,,未確認,,
60,What should I know about queueing in Japan?,queueing,inbound,en,,,未確認,,
61,What should I know about reservations in Japan?,reservations,inbound,en,,,未確認,,
62,What should I know about English-speaking staff in Japan?,English-speaking staff,inbound,en,,,未確認,,
63,What should I know about translation apps in Japan?,translation apps,inbound,en,,,未確認,,
64,What should I know about pharmacy staff in Japan?,pharmacy staff,inbound,en,必須,,未確認,,
65,What should I know about over-the-counter medicine in Japan?,over-the-counter medicine,inbound,en,必須,制度・安全,未確認,,
66,What should I know about first aid supplies in Japan?,first aid supplies,inbound,en,必須,,未確認,,
67,What should I know about power plugs in Japan?,power plugs,inbound,en,,,未確認,,
68,What should I know about SIM and eSIM in Japan?,SIM and eSIM,inbound,en,,,未確認,,
69,What should I know about pocket wifi in Japan?,pocket wifi,inbound,en,,,未確認,,
70,What should I know about postal services in Japan?,postal services,inbound,en,,,未確認,,
71,What should I know about souvenir choices in Japan?,souvenir choices,inbound,en,,,未確認,,
72,What should I know about gift wrapping in Japan?,gift wrapping,inbound,en,,,未確認,,
73,What should I know about seasonal shopping in Japan?,seasonal shopping,inbound,en,,,未確認,,
74,What should I know about sales seasons in Japan?,sales seasons,inbound,en,,,未確認,,
75,What should I know about sizing differences in Japan?,sizing differences,inbound,en,,,未確認,,
76,What should I know about shoe sizes in Japan?,shoe sizes,inbound,en,,,未確認,,
77,What do people get wrong about drugstores in Japan?,drugstores,inbound,en,,,未確認,,
78,What do people get wrong about convenience stores in Japan?,convenience stores,inbound,en,,,未確認,,
79,What do people get wrong about supermarkets in Japan?,supermarkets,inbound,en,,,未確認,,
80,What do people get wrong about department stores in Japan?,department stores,inbound,en,,,未確認,,
81,What do people get wrong about 100-yen shops in Japan?,100-yen shops,inbound,en,,,未確認,,
82,What do people get wrong about home centres in Japan?,home centres,inbound,en,,,未確認,,
83,What do people get wrong about tax-free shopping in Japan?,tax-free shopping,inbound,en,,制度・安全,未確認,,
84,What do people get wrong about consumption tax in Japan?,consumption tax,inbound,en,,制度・安全,未確認,,
85,What do people get wrong about cash and cards in Japan?,cash and cards,inbound,en,,,未確認,,
86,What do people get wrong about IC cards in Japan?,IC cards,inbound,en,,,未確認,,
87,What do people get wrong about coin lockers in Japan?,coin lockers,inbound,en,,,未確認,,
88,What do people get wrong about luggage forwarding in Japan?,luggage forwarding,inbound,en,,,未確認,,
89,What do people get wrong about carry-on rules in Japan?,carry-on rules,inbound,en,,,未確認,,
90,What do people get wrong about customs on the way home in Japan?,customs on the way home,inbound,en,,制度・安全,未確認,,
